"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2014","CMR","Camerún","Manufacturas de media tecnología","7.599","2.32077304128466"
"2014","COG","Congo","Manufacturas en basadas en RRNN","73.021","100"
"2014","CUB","Cuba","Productos primarios","331.436","1.92696043439226"
"2014","CUB","Cuba","Manufacturas en basadas en RRNN","2970.563","17.2707773714068"
"2014","CUB","Cuba","Manufacturas de baja tecnología","76.433","0.444379508809857"
"2014","DMA","Dominica","Manufacturas en basadas en RRNN","8.996","14.1020817657387"
"2014","SLV","El Salvador","Manufacturas de alta tecnología","118.337","29.8566169884774"
"2014","SLV","El Salvador","Manufacturas de media tecnología","69.598","17.5596882561164"
"2014","FJI","Fiji","Productos primarios","7.691","99.6243523316062"
"2014","FJI","Fiji","Manufacturas en basadas en RRNN","0.029","0.375647668393782"
"2014","GHA","Ghana","Manufacturas de media tecnología","0.059","0.0373370459435514"
"2014","ISL","Islandia","Manufacturas de alta tecnología","51.872","1.50195460837906"
"2014","ISL","Islandia","Manufacturas de media tecnología","2390.55","69.2184143480213"
"2014","IRN","Irán","Manufacturas de media tecnología","5401.093","98.2480461235801"
"2014","IRN","Irán","Manufacturas de alta tecnología","0.125","0.00227380009295295"
"2014","IRQ","Iraq","Manufacturas en basadas en RRNN","20.676","99.341757555374"
"2014","CIV","Costa de Marfil","Manufacturas en basadas en RRNN","173.783","11.4777192901347"
"2014","CIV","Costa de Marfil","Productos primarios","1335.566","88.2091553342272"
"2014","JAM","Jamaica","Manufacturas de media tecnología","0.726","26.6911764705882"
"2014","KWT","Kuwait","Manufacturas en basadas en RRNN","21.305","0.262646189016742"
"2014","KWT","Kuwait","Manufacturas de baja tecnología","0.394","0.00485719776919015"
"2014","LAO","Laos","Manufacturas en basadas en RRNN","0.081","0.981699187977215"
"2014","LAO","Laos","Manufacturas de baja tecnología","5.958","72.2094291601018"
"2014","LBN","Líbano","Manufacturas de media tecnología","88.034","18.4389884256253"
"2014","LBN","Líbano","Manufacturas de alta tecnología","1.519","0.318159159171739"
"2014","MAC","Macao","Manufacturas de baja tecnología","11.107","3.02383512788751"
"2014","MDG","Madagascar","Productos primarios","337.417","62.1244230213337"
"2014","MDG","Madagascar","Manufacturas en basadas en RRNN","117.486","21.6312455006251"
"2014","MDG","Madagascar","Manufacturas de baja tecnología","80.944","14.9032185605314"
